gene	KO	Rescue	WT
gene_4	0	0	0
gene_6	0	0	1
gene_7	1	0	5
gene_9	0	0	0
gene_15	11	22	39
gene_16	3	6	8
gene_17	673	323	703
gene_18	5	10	18
gene_19	0	0	0
gene_21	0	0	1
gene_22	0	1	5
gene_24	0	0	0
gene_25	165	228	582
gene_26	1942	3043	7146
gene_27	62	144	261
gene_28	90	224	441
gene_29	23	49	142
gene_30	14	4	34
gene_31	260	502	1144
gene_32	666	1802	3008
gene_33	0	0	6
gene_34	18320	34132	97383
gene_35	667	1354	3700
gene_36	1	12	12
gene_37	7095	72	153
gene_38	202	286	725
gene_39	0	0	5
gene_40	14	7	26
gene_41	77	120	268
gene_42	2	4	10
gene_43	16	23	71
gene_44	1	6	3
gene_45	0	1	0
gene_46	2813	5170	11785
gene_47	747	1253	3100
gene_48	49	59	176
gene_49	1	2	9
gene_50	645	997	2439
gene_51	0	0	1
gene_52	2	9	18
gene_53	484	871	2119
gene_54	282	655	1406
gene_55	1253	2060	5201
gene_56	9	23	51
gene_57	498	917	2039
gene_58	2	7	26
gene_59	1522	2433	6743
gene_60	19	43	103
gene_61	1058	1677	3944
gene_62	548	1226	2198
gene_63	285	494	1219
gene_64	808	1455	3002
gene_65	28	51	79
gene_66	41	74	150
gene_67	1	2	4
gene_68	16	38	105
gene_69	9	18	52
gene_70	1590	3202	7979
gene_71	20	32	98
gene_72	392	630	1228
gene_73	930	1324	3305
gene_74	11	17	29
gene_75	1902	3422	7514
gene_76	6	9	34
gene_79	35	66	139
gene_80	305	532	1290
gene_82	447	832	1708
gene_83	79	141	325
gene_84	1296	2338	5531
gene_85	157	278	585
gene_86	197	335	709
gene_87	878	1780	4079
gene_88	5707	11224	25553
gene_89	0	0	2
gene_90	0	0	0
gene_91	64	56	94
gene_92	2	2	4
gene_93	0	0	0
gene_94	0	0	0
gene_95	0	0	0
gene_96	634	1091	2686
gene_97	31	65	138
gene_98	36	42	81
gene_99	814	1485	3495
gene_100	0	2	1
gene_101	1474	2537	5848
gene_102	3	5	13
gene_103	92	185	404
gene_104	0	2	0
gene_105	1	2	11
gene_106	1660	3317	7185
gene_107	1030	1794	4296
gene_108	74	132	430
gene_109	0	0	0
gene_111	277	475	1050
gene_112	6	2	23
